date,product_id,quantity,unit_price,total
2025-12-02,PROD001,20,50.0,1000.0
2025-12-02,PROD002,21,60.0,1260.0
2025-12-02,PROD003,22,70.0,1540.0
2025-12-02,PROD004,23,80.0,1840.0
2025-12-02,PROD005,24,90.0,2160.0
2025-12-02,PROD006,25,100.0,2500.0
2025-12-02,PROD007,26,110.0,2860.0
2025-12-02,PROD008,27,120.0,3240.0
2025-12-02,PROD009,28,130.0,3640.0
2025-12-02,PROD010,29,140.0,4060.0
2025-12-02,PROD011,30,150.0,4500.0
2025-12-02,PROD012,31,160.0,4960.0
2025-12-02,PROD013,32,170.0,5440.0
2025-12-02,PROD014,33,180.0,5940.0
2025-12-02,PROD015,34,190.0,6460.0
